nome,utilizacoes,sintaxe,paradigma,seguranca,velocidade
Java,"BD, App Desktop, IA, Android",Dificil,"POO, estruturada, imperativa, generica, funcional, reflexiva, concorrente",Alta,Baixa
Java Script,Web,Facil,POO,Baixa,Media
C,"BD, Embarcado",Medio,"estruturada, imperativa, procedural",N/A,Alta
C++,"BD, Jogos, App Desktop",Medio,"POO, estruturada, imperativa, procedural",N/A,Alta
Assembly,Embarcado,Dificil,imperativa,N/A,Media
Ruby,"Web, App Desktop",Facil,POO,Alta,Baixa
Swift,MAC/IOS,Facil,"POO, estruturada, imperativa, funcional, concorrente",N/A,Media
PHP,Web,Facil,"POO, procedural, reflexiva",Baixa,Baixa
C#,Jogos,Medio,POO,N/A,Alta
R,"Machine Learning, Estatistica, Big Data",Facil,"POO, sequencializacao, imperativo, dinamico, processual, reciproco",N/A,Baixa
Rust,DS,Dificil,"POO, imperativa, funcional",N/A,Alta
GO,Web,Facil,"concorrente, imperativa, estruturada",N/A,Alta
Python,"IA, Image processing",Facil,"POO, imperativa, funcional",Baixa,Baixa
